High,Low,Last,Change,Volume,Open Int,IV,Last Trade,Strike,High,Low,Last,Change,Volume,Open Int,IV,Last Trade
0,0,0,unch,0,0,216.77%,N/A,"1,200.00",0,0,0,unch,0,0,0.00%,N/A
0,0,0,unch,0,0,194.99%,N/A,"1,400.00",0,0,0,unch,0,0,0.00%,N/A
0,0,0,unch,0,0,174.15%,N/A,"1,600.00",0,0,0,unch,0,0,0.00%,N/A
0,0,0,unch,0,0,159.20%,N/A,"1,800.00",0,0,0.07,unch,0,3,0.00%,11/24/2023
0,0,0,unch,0,0,144.00%,N/A,"2,000.00",0,0,0.05,unch,0,327,0.00%,12/15/2023
0,0,0,unch,0,0,128.92%,N/A,"2,200.00",0,0,0.05,unch,0,55,0.00%,12/15/2023
0,0,0,unch,0,0,116.26%,N/A,"2,400.00",0,0,0.1,unch,0,400,0.00%,12/15/2023
0,0,0,unch,0,0,105.37%,N/A,"2,600.00",0.05,0.05,0.05,unch,10,737,0.00%,12/18/2023
0,0,0,unch,0,0,92.96%,N/A,"2,800.00",0,0,0.15,unch,5,780,0.00%,12/18/2023
0,0,0,unch,0,0,83.57%,N/A,"3,000.00",0.1,0.1,0.1,unch,4,472,59.62%,12/19/2023
0,0,0,unch,0,0,78.79%,N/A,"3,100.00",0.1,0.1,0.1,0.1,200,423,54.65%,09:30 ET
0,0,0,unch,0,0,73.20%,N/A,"3,200.00",0.2,0.2,0.2,0.05,44,208,53.84%,09:30 ET
0,0,0,unch,0,0,68.89%,N/A,"3,300.00",0.17,0.15,0.17,unch,2,375,50.94%,12/18/2023
0,0,0,unch,0,0,63.32%,N/A,"3,400.00",0.4,0.3,0.3,0.04,54,"1,184",47.87%,09:31 ET
0,0,0,unch,0,0,46.82%,N/A,"3,450.00",0.35,0.35,0.35,unch,90,263,46.62%,09:31 ET
0,0,0,unch,0,0,42.53%,N/A,"3,500.00",0.27,0.27,0.27,unch,15,392,45.28%,12/19/2023
0,0,0,unch,0,0,57.49%,N/A,"3,550.00",0.5,0.39,0.5,unch,46,654,43.87%,12/19/2023
0,0,0,unch,0,0,38.53%,N/A,"3,600.00",0,0,0.42,unch,0,"1,277",42.62%,12/19/2023
0,0,0,unch,0,0,40.28%,N/A,"3,650.00",0.67,0.4,0.67,unch,150,332,41.28%,12/19/2023
0,0,871.83,unch,0,10,37.85%,12/6/2023,"3,700.00",0.5,0.5,0.5,unch,2,"2,305",39.69%,12/19/2023
0,0,877.16,unch,0,7,39.72%,12/11/2023,"3,750.00",0.75,0.75,0.75,0.1,3,"1,041",38.38%,09:37 ET
0,0,0,unch,0,0,38.33%,N/A,"3,800.00",0.95,0.87,0.88,0.29,102,"23,324",36.98%,09:47 ET
0,0,0,unch,0,0,35.67%,N/A,"3,850.00",1.05,1.05,1.05,-0.05,9,"23,294",35.50%,09:30 ET
0,0,0,unch,0,0,33.68%,N/A,"3,900.00",1.1,1.05,1.1,unch,13,"6,887",33.98%,12/19/2023
0,0,617.61,unch,0,530,33.14%,11/30/2023,"3,950.00",1.45,0.8,1.45,unch,43,"1,290",32.57%,12/19/2023
0,0,0,unch,0,0,31.72%,N/A,"3,975.00",1.4,1.4,1.4,0.53,5,335,31.76%,09:30 ET
0,0,761.47,unch,0,"10,225",30.64%,12/18/2023,"4,000.00",1.35,1.35,1.35,unch,25,"10,863",31.09%,09:47 ET
0,0,0,unch,0,0,31.63%,N/A,"4,025.00",1.35,1.35,1.35,unch,2,175,30.39%,12/19/2023
0,0,0,unch,0,0,29.80%,N/A,"4,030.00",1.15,1.15,1.15,unch,30,80,30.19%,12/19/2023
0,0,0,unch,0,0,29.31%,N/A,"4,040.00",1.4,1.4,1.4,unch,2,76,29.93%,12/18/2023
0,0,0,unch,0,0,30.88%,N/A,"4,050.00",1.15,1.15,1.15,unch,1,384,29.54%,12/19/2023
0,0,0,unch,0,5,29.94%,N/A,"4,060.00",0,0,1.55,unch,0,12,29.27%,12/18/2023
0,0,0,unch,0,0,29.09%,N/A,"4,070.00",1.5,1.5,1.5,unch,2,254,29.00%,12/18/2023
0,0,0,unch,0,0,28.60%,N/A,"4,075.00",1.35,1.3,1.35,unch,31,69,28.80%,12/18/2023
0,0,0,unch,0,0,28.86%,N/A,"4,080.00",1.95,1.55,1.95,unch,32,40,28.72%,12/18/2023
0,0,0,unch,0,0,29.59%,N/A,"4,090.00",1.35,1.35,1.35,unch,19,150,28.32%,12/18/2023
0,0,0,unch,0,0,29.31%,N/A,"4,100.00",1.9,1.16,1.9,unch,"2,501","2,070",28.04%,12/19/2023
0,0,0,unch,0,300,27.89%,N/A,"4,110.00",1.65,1.65,1.65,unch,2,137,27.76%,12/18/2023
0,0,0,unch,0,0,27.64%,N/A,"4,120.00",1.7,1.7,1.7,unch,2,52,27.47%,12/18/2023
0,0,0,unch,0,0,28.49%,N/A,"4,125.00",0,0,1.8,unch,0,67,27.27%,12/18/2023
0,0,0,unch,0,0,27.38%,N/A,"4,130.00",1.75,1.75,1.75,unch,2,12,27.17%,12/18/2023
0,0,0,unch,0,0,27.11%,N/A,"4,140.00",0,0,1.85,unch,0,42,26.87%,12/18/2023
0,0,481.56,unch,0,6,27.66%,12/11/2023,"4,150.00",2.05,2.05,2.05,-0.05,4,"1,043",26.57%,09:30 ET
0,0,592.62,unch,0,5,27.36%,12/18/2023,"4,160.00",0,0,1.95,unch,0,271,26.27%,12/18/2023
0,0,0,unch,0,0,26.97%,N/A,"4,170.00",1.65,1.65,1.65,unch,29,57,25.96%,12/18/2023
0,0,438.63,unch,0,0,26.40%,12/7/2023,"4,175.00",1.95,1.95,1.95,unch,2,339,25.75%,12/19/2023
0,0,0,unch,0,0,25.90%,N/A,"4,180.00",0,0,2.05,unch,0,84,25.64%,12/18/2023
0,0,0,unch,0,10,26.35%,N/A,"4,190.00",2.05,2.05,2.05,unch,2,27,25.32%,12/19/2023
0,0,563.37,unch,0,11,26.03%,12/18/2023,"4,200.00",2.6,1.55,2.6,unch,151,977,25.00%,12/19/2023
0,0,410.96,unch,0,5,25.71%,12/1/2023,"4,210.00",2.15,2.15,2.15,unch,2,197,24.68%,12/18/2023
0,0,401.55,unch,0,5,25.38%,12/1/2023,"4,220.00",2.2,1.6,2.2,unch,4,75,24.35%,12/18/2023
0,0,348.16,unch,0,1,24.55%,11/21/2023,"4,225.00",2.32,2.32,2.32,0.07,10,"5,070",24.18%,09:36 ET
0,0,0,unch,0,0,24.08%,N/A,"4,230.00",2.12,2.12,2.12,unch,7,131,24.02%,12/18/2023
511.38,511.38,511.38,unch,2,227,23.85%,N/A,"4,240.00",0,0,2.35,unch,0,30,23.77%,12/18/2023
0,0,0,unch,0,0,24.39%,N/A,"4,250.00",2.4,1.7,2.4,unch,12,"5,433",23.43%,12/19/2023
0,0,0,unch,0,0,23.44%,N/A,"4,260.00",0,0,2.45,unch,0,31,23.16%,12/18/2023
0,0,346.55,unch,0,0,23.11%,12/7/2023,"4,270.00",2.55,1.75,2.55,unch,6,58,22.82%,12/18/2023
0,0,460.6,unch,0,1,22.74%,12/15/2023,"4,275.00",2.67,2.67,2.67,-0.38,10,42,22.64%,09:36 ET
0,0,0,unch,0,0,23.48%,N/A,"4,280.00",0,0,2.6,unch,0,22,22.54%,12/18/2023
0,0,0,unch,0,0,22.51%,N/A,"4,290.00",3.5,3.5,3.5,unch,1,40,22.18%,12/18/2023
0,0,433.65,unch,0,4,22.04%,12/15/2023,"4,300.00",3.2,1.94,3.2,unch,7,"2,187",21.89%,12/19/2023
0,0,398.55,unch,0,1,21.89%,12/13/2023,"4,310.00",2.07,2.07,2.07,unch,2,103,21.63%,12/18/2023
0,0,388.8,unch,0,1,22.10%,12/13/2023,"4,320.00",2.4,2.4,2.4,unch,1,107,21.29%,12/18/2023
0,0,0,unch,0,0,21.42%,N/A,"4,325.00",2.45,2.45,2.45,unch,1,536,21.14%,12/18/2023
0,0,0,unch,0,0,21.74%,N/A,"4,330.00",4,2.45,4,unch,46,97,20.98%,12/19/2023
0,0,0,unch,0,0,21.47%,N/A,"4,340.00",3.55,3.55,3.55,unch,1,234,20.72%,12/18/2023
0,0,0,unch,0,0,20.81%,N/A,"4,345.00",2.3,2.3,2.3,unch,2,238,20.56%,12/18/2023
0,0,390.2,unch,0,250,21.04%,12/15/2023,"4,350.00",3.6,3.6,3.6,-0.1,2,994,20.40%,04:18 ET
0,0,0,unch,0,0,20.85%,N/A,"4,355.00",2.35,2.35,2.35,unch,1,199,20.24%,12/19/2023
0,0,412.95,unch,0,30,20.81%,12/19/2023,"4,360.00",4.6,2.35,4.6,unch,116,375,20.12%,12/19/2023
0,0,0,unch,0,0,20.33%,N/A,"4,365.00",2.4,2.4,2.4,unch,1,272,19.96%,12/19/2023
0,0,266.5,unch,0,14,20.43%,12/11/2023,"4,370.00",4.85,3.9,3.9,unch,62,248,19.79%,12/19/2023
0,0,249.75,unch,0,1,20.28%,11/29/2023,"4,375.00",4.45,4.45,4.45,unch,1,519,19.67%,12/19/2023
0,0,342.35,unch,0,17,20.13%,12/13/2023,"4,380.00",4.79,2.45,4.79,unch,10,223,19.55%,12/19/2023
0,0,365.22,unch,0,6,19.98%,12/14/2023,"4,385.00",4.1,4.1,4.1,1.45,11,136,19.51%,08:57 ET
0,0,332.58,unch,0,5,19.82%,12/13/2023,"4,390.00",0,0,3.2,unch,0,361,19.24%,12/19/2023
0,0,0,unch,0,0,19.32%,N/A,"4,395.00",0,0,3.02,unch,0,118,19.07%,12/19/2023
357.37,357.37,357.37,-30.72,1,24,17.78%,09:32 ET,"4,400.00",4.1,4.1,4.1,-1.35,1,"1,113",18.84%,09:32 ET
0,0,348.55,unch,0,4,19.39%,12/18/2023,"4,405.00",0,0,3.29,unch,0,315,18.80%,12/19/2023
0,0,368.8,unch,0,20,19.23%,12/19/2023,"4,410.00",0,0,3.52,unch,0,114,18.66%,12/19/2023
0,0,0,unch,0,0,19.06%,N/A,"4,415.00",2.79,2.79,2.79,unch,1,235,18.52%,12/19/2023
